ID;Service_number;Reservation;Tariff;Service_Mode;Service_Name;Service_Provider;not_used;Reservation_system;First_day;Last_day;Operation_days;Second_service_number
93;281;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
94;282;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
95;283;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
96;283;;;37;;1076;;92;2024-12-07;2024-12-08;11;
97;283;;;37;;1076;;92;2024-12-14;2024-12-14;1;
98;284;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
99;284;;;37;;1076;;92;2024-12-07;2024-12-08;11;
100;284;;;37;;1076;;92;2024-12-14;2024-12-14;1;
101;285;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
102;286;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
103;287;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
104;287;;;37;;1076;;92;2024-12-07;2024-12-08;11;
105;287;;;37;;1076;;92;2024-12-14;2024-12-14;1;
106;288;;;37;;1076;;92;2024-12-05;2024-12-13;110011101;
107;288;;;37;;1076;;92;2024-12-07;2024-12-08;11;
108;288;;;37;;1076;;92;2024-12-12;2024-12-12;1;
109;288;;;37;;1076;;92;2024-12-14;2024-12-14;1;
110;289;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
111;290;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
112;291;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
113;292;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
114;293;;;37;;1076;;92;2024-12-05;2024-12-13;110011111;
115;17240;;;37;;3733;;92;2017-09-22;2017-09-22;1;
116;701;;;37;;3733;;92;2026-04-09;2026-08-06;110011111001111100111100011111001110100111110001111001111100111110011111001111100111110011111001111100111110011111001111;
117;702;;;37;;3733;;92;2026-04-09;2026-06-18;10001111000111100011110001111000111000011110000111000111100011110001111;
118;702;;;37;;3733;;92;2026-04-10;2026-06-26;100000010000001000000000000010000000000000100000010000001000000100000010011111;
119;702;;;37;;3733;;92;2026-06-29;2026-08-06;111110011111001111100111110011111001111;
120;702;;;37;;3733;;92;2017-09-22;2017-09-22;1;
121;702;;;32;;3733;;92;2026-05-15;2026-05-15;1;
122;702;;;32;;3733;;92;2026-04-09;2026-06-18;10001111000111100011110001111000111100011110001111000111100011110001111;
123;702;;;32;;3733;;92;2026-04-09;2026-06-18;10001111000111100011110001111000111100011110001111000111100011110001111;
124;702;;;32;;3733;;92;2026-05-15;2026-05-15;1;
125;702;;;32;;3733;;92;2026-05-15;2026-05-15;1;
126;702;;;32;;3733;;92;2026-05-15;2026-05-15;1;
127;702;;;32;;3733;;92;2026-05-15;2026-05-15;1;
128;702;;;32;;3733;;92;2026-05-15;2026-05-15;1;
129;702;;;32;;3733;;92;2026-05-15;2026-05-15;1;
130;702;;;32;;3733;;92;2026-05-15;2026-05-15;1;
131;702;;;32;;3733;;92;2026-05-15;2026-05-15;1;
132;702;;;37;;3733;;92;2017-09-22;2017-09-22;1;
133;704;;;37;;3733;;92;2026-04-09;2026-06-18;10001111000111100011110001111000111010011110000111000111100011110001111;
134;704;;;37;;3733;;92;2026-04-10;2026-06-26;100000010000001000000000000010000000000000100000010000001000000100000010011111;
135;704;;;37;;3733;;92;2026-04-11;2026-08-01;10000001000000100000000000001000000000000000000001000000000000010000001000000100000010000001000000100000010000001;
136;704;;;37;;3733;;92;2026-05-23;2026-05-23;1;
137;704;;;37;;3733;;92;2026-06-29;2026-08-06;111110011111001111100111110011111001111;
138;704;;;37;;3733;;92;2017-09-22;2017-09-22;1;
139;704;;;32;;3733;;92;2026-05-15;2026-05-16;11;
140;704;;;32;;3733;;92;2026-05-15;2026-05-16;11;
141;704;;;32;;3733;;92;2026-05-15;2026-05-16;11;
142;704;;;32;;3733;;92;2026-05-15;2026-05-16;11;
143;704;;;32;;3733;;92;2026-05-23;2026-05-23;1;
144;704;;;32;;3733;;92;2026-05-23;2026-05-23;1;
145;704;;;32;;3733;;92;2026-05-23;2026-05-23;1;
146;704;;;32;;3733;;92;2026-04-09;2026-06-18;10001111000111100011110001111000111100011110001111000111100011110001111;
147;704;;;32;;3733;;92;2026-04-09;2026-06-18;10001111000111100011110001111000111100011110001111000111100011110001111;
148;704;;;32;;3733;;92;2026-05-15;2026-05-16;11;
149;704;;;32;;3733;;92;2026-05-15;2026-05-16;11;
150;704;;;32;;3733;;92;2026-05-15;2026-05-16;11;
151;704;;;32;;3733;;92;2026-05-15;2026-05-16;11;
152;704;;;32;;3733;;92;2026-05-15;2026-05-16;11;
153;704;;;37;;3733;;92;2017-09-22;2017-09-22;1;
